Name, fuck, bitch, bullshit, rubbish, kiss, location
syedkumail95,21,0,0,0,0,Florida, USA
heart_attack207,41,1,0,0,0,Dallas, TX
SwaziJwand,61,1,1,0,0,Atlanta, GA
UsmanAs73776722,79,1,1,0,0,San Diego, California
hello_worldss,106,1,1,0,0,Sunrise, FL
HASSAM38068007,134,1,1,0,0,Dana Point, CA
call_me_ikra,173,2,1,0,0,Maryland, USA
ehtasham3233,203,2,1,0,0,Dubai, United Arab Emirates
_Muhd_Irfan_,234,4,2,0,0,Bahamas
JanSherKhan_,243,4,3,0,0,United States
Name, fuck, bitch, bullshit, rubbish, kiss, location
syedkumail95,21,0,0,0,0,Florida, USA
heart_attack207,41,1,0,0,0,Dallas, TX
SwaziJwand,61,1,1,0,0,Atlanta, GA
UsmanAs73776722,79,1,1,0,0,San Diego, California
hello_worldss,106,1,1,0,0,Sunrise, FL
HASSAM38068007,134,1,1,0,0,Dana Point, CA
call_me_ikra,173,2,1,0,0,Maryland, USA
ehtasham3233,203,2,1,0,0,Dubai, United Arab Emirates
_Muhd_Irfan_,234,4,2,0,0,Bahamas
JanSherKhan_,243,4,3,0,0,United States
Name, fuck, bitch, bullshit, rubbish, kiss, location
syedkumail95,21,0,0,0,0,Florida, USA
heart_attack207,41,1,0,0,0,Dallas, TX
SwaziJwand,61,1,1,0,0,Atlanta, GA
UsmanAs73776722,79,1,1,0,0,San Diego, California
hello_worldss,106,1,1,0,0,Sunrise, FL
HASSAM38068007,134,1,1,0,0,Dana Point, CA
call_me_ikra,173,2,1,0,0,Maryland, USA
ehtasham3233,203,2,1,0,0,Dubai, United Arab Emirates
_Muhd_Irfan_,234,4,2,0,0,Bahamas
JanSherKhan_,243,4,3,0,0,United States
Name, fuck, bitch, bullshit, rubbish, kiss, location
syedkumail95,21,0,0,0,0,Florida, USA
heart_attack207,41,1,0,0,0,Dallas, TX
SwaziJwand,61,1,1,0,0,Atlanta, GA
UsmanAs73776722,79,1,1,0,0,San Diego, California
hello_worldss,106,1,1,0,0,Sunrise, FL
HASSAM38068007,134,1,1,0,0,Dana Point, CA
call_me_ikra,173,2,1,0,0,Maryland, USA
ehtasham3233,203,2,1,0,0,Dubai, United Arab Emirates
_Muhd_Irfan_,234,4,2,0,0,Bahamas
JanSherKhan_,243,4,3,0,0,United States
Name, fuck, bitch, bullshit, rubbish, kiss, location
syedkumail95,21,0,0,0,0,Florida, USA
heart_attack207,41,1,0,0,0,Dallas, TX
SwaziJwand,61,1,1,0,0,Atlanta, GA
UsmanAs73776722,79,1,1,0,0,San Diego, California
hello_worldss,106,1,1,0,0,Sunrise, FL
HASSAM38068007,134,1,1,0,0,Dana Point, CA
call_me_ikra,173,2,1,0,0,Maryland, USA
ehtasham3233,203,2,1,0,0,Dubai, United Arab Emirates
_Muhd_Irfan_,234,4,2,0,0,Bahamas
JanSherKhan_,243,4,3,0,0,United States
Name, fuck, bitch, bullshit, rubbish, kiss, location
syedkumail95,21,0,0,0,0,Florida, USA
heart_attack207,41,1,0,0,0,Dallas, TX
SwaziJwand,61,1,1,0,0,Atlanta, GA
UsmanAs73776722,79,1,1,0,0,San Diego, California
hello_worldss,106,1,1,0,0,Sunrise, FL
HASSAM38068007,134,1,1,0,0,Dana Point, CA
call_me_ikra,173,2,1,0,0,Maryland, USA
ehtasham3233,203,2,1,0,0,Dubai, United Arab Emirates
_Muhd_Irfan_,234,4,2,0,0,Bahamas
JanSherKhan_,243,4,3,0,0,United States
Name, fuck, bitch, bullshit, rubbish, kiss, location
syedkumail95,21,0,0,0,0,Florida, USA
heart_attack207,41,1,0,0,0,Dallas, TX
SwaziJwand,61,1,1,0,0,Atlanta, GA
UsmanAs73776722,79,1,1,0,0,San Diego, California
hello_worldss,106,1,1,0,0,Sunrise, FL
HASSAM38068007,134,1,1,0,0,Dana Point, CA
call_me_ikra,173,2,1,0,0,Maryland, USA
ehtasham3233,203,2,1,0,0,Dubai, United Arab Emirates
_Muhd_Irfan_,234,4,2,0,0,Bahamas
JanSherKhan_,243,4,3,0,0,United States
Name, fuck, bitch, bullshit, rubbish, kiss, location
syedkumail95,21,0,0,0,0,Florida, USA
heart_attack207,41,1,0,0,0,Dallas, TX
SwaziJwand,61,1,1,0,0,Atlanta, GA
UsmanAs73776722,79,1,1,0,0,San Diego, California
